brand,persona,headline,quote,logp
Photoshop,Anticipation,What lies beneath the layers?,What lies beneath,-0.5425643150585153
Photoshop,Anticipation,Photoshop's coming. I can see it in your edits.,Something's coming. I can feel it in the air.,-0.5137272106956585
Photoshop,Anticipation,Photoshop’s magic this way comes.,,-0.5444828147780068
Photoshop,Anticipation,The hidden potential is in Photoshop.,We're gonna need a bigger boat,-0.5693391862169513
Photoshop,Anticipation,"Your vision's coming, I can feel it in Photoshop!","Something's coming, I can feel it in the air!",-0.4844800436169365
Photoshop,Anticipation,The greatest Photoshop edit was convincing reality it didn’t exist.,The greatest trick was convincing the world it didn’t exist.,-0.4862234492230414
Photoshop,Anticipation,The future is Photoshop-ed.,,-0.6080657114447968
Photoshop,Anticipation,The best edits are yet to begin.,The best is yet to come,-0.4845170504860905
Photoshop,Anticipation,The Photoshop edit is the hardest part.,,-0.5713064472023187
Creative Cloud,Trust,Creative Cloud is the foundation of trust.,Trust is the glue of life.,-0.5912047882868167
Creative Cloud,Trust,"Trust, but Creative Cloud protects.","Trust, but verify.",-0.4856143555347049
Creative Cloud,Trust,Creative Cloud is the foundation of every creative project.,Trust is the foundation of every relationship.,-0.5040522112161316
Creative Cloud,Trust,Files are permanently safe.,Diamonds are forever.,-0.5056418632081332
Creative Cloud,Trust,Creative Cloud is the first safeguard for creativity.,Security is the first requisite for happiness,-0.5589895950544033
Creative Cloud,Trust,Creative Cloud is the glue of creativity.,Trust is the glue of life.,-0.520109161739839
Creative Cloud,Trust,Creative Cloud is the glue of trust.,Trust is the glue of life.,-0.4366722281802053
Creative Cloud,Trust,Better secure than second-guessing.,Better safe than sorry.,-0.5074057739621003
Nike,Fear,Nike: Strike while the moment is hot!,"Strike while the iron is hot,",-0.45932035355533274
Nike,Fear,Nike: Strike while the moment is ripe.,Strike while the iron is hot,-0.5388638236058639
Nike,Fear,"Seize your limit, for rest never comes.","Seize the day, for tomorrow never comes.",-0.45629470699930663
Nike,Fear,You miss 100% of the miles you don’t run. Nike.,The only thing we have to fear is fear itself,-0.4168200149843397
Nike,Fear,"Nike: Seize the moment, for victory never comes.",The only thing we have to fear is fear itself.,-0.5418678209800917
Nike,Fear,The only thing you have to fear is missing Nike.,The only thing we have to fear is fear itself.,-0.4928179871718235
Nike,Fear,Your time is sweat money.,Time is money.,-0.5114559660262118
Nike,Fear,The only thing we have to fear is slowing down.,Fear itself is our biggest enemy,-0.5002318162037722
